,user_gender,referral_code_used,user_age,monthly_total_sell,EOP_Saham_AUM,EOP_Pasar_Uang_AUM,EOP_Pendapatan_Tetap_AUM,EOP_Campuran_AUM,EOP_total_invested_amount,EOP_profit_rate,user_vintage,predicted_score
5452,0,0,34.0,0.0,158682.0,80187.0,370868.0,0.0,600000.0,1.6228333333333336,1.0,0.660982995254595
5455,0,0,24.0,0.0,0.0,602430.0,0.0,0.0,600000.0,0.40499999999999997,1.0,0.5488114173700173
5457,1,0,25.0,-110000.0,74614.0,20054.0,0.0,0.0,90000.0,5.1866666666666665,1.0,0.6510987738708862
5461,1,0,34.0,0.0,6267617.0,11383687.0,0.0,0.0,17322500.0,1.8981324866503102,1.0,0.6217169632341601
5462,0,0,30.0,0.0,0.0,1002294.0,0.0,0.0,1000000.0,0.22940000000000002,1.0,0.5810045039572704
5463,1,0,31.0,0.0,53305.0,10068.0,40161.0,0.0,100000.0,3.5340000000000003,1.0,0.6195233213031209
5465,0,0,24.0,0.0,414161.0,251188.0,100567.0,0.0,750000.0,2.122133333333333,1.0,0.6216427555903536
5466,0,0,31.0,0.0,82445.0,70320.0,100206.0,0.0,250000.0,1.1884000000000001,1.0,0.6236879944359949
5472,0,0,27.0,0.0,0.0,170835.0,0.0,0.0,170000.0,0.4911764705882354,1.0,0.568994168869053
5476,0,0,62.0,0.0,0.0,5013935.0,0.0,0.0,5000000.0,0.2787,1.0,0.776749097258164
5477,0,0,42.0,100000.0,2750513.0,261094.0,512079.0,201685.0,3730000.0,-0.12410187667560321,1.0,0.6365504231385475
5479,1,1,30.0,-38227098.0,0.0,139749864.0,62705646.0,8949766.0,210344448.0,0.5043289756808794,1.0,0.9295209213749884
5482,0,0,37.0,-500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6016531574455015
5485,0,0,34.0,-100000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5886725260045976
5486,1,1,36.0,0.0,525674.0,100531.0,446660.0,0.0,1025000.0,4.669756097560976,1.0,0.6104954598205958
5487,1,0,46.0,-200000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5555629821329227
